vhmac:02.VegaChess vuhung$ python3 ParseVega.py 
Enter the round number: 2
Pairings for round 2:
Zheng,Tony vs Milson,Tyler (B, result: +)
Scott,Daniel vs Rosario,Amiel (B, result: -)
Sweeney,Matthew vs Watson,Robert A (W, result: -)
Ullah,Sami vs Arlandez Mana,Francesc (B, result: -)
Wang,Isaac (Yijun) vs Sze-To,Jonas (B, result: -)
Shettigar,Harsha vs Fuller,Nicholas (W, result: -)
Kulkarni,Mahesh vs Karakaidos,Apollo          (W) (B, result: +)
Joseph,Alvin vs Coy,Rupert (B, result: -)
Cross,Patrick vs Weir,Hexum                 (W) (W, result: +)
Khadka,Ronav vs Thuaux,Alexander (B, result: -)
Chan,Daniel vs Sivaraj,Avinav (B, result: -)
Saha,Binoy vs Ella,Matthew               (W) (W, result: -)
Tam,Li Zhang vs Gorantla,Karunya (B, result: -)
Widdowson,Daniel vs Tee,Marcus Yuan Bo (B, result: -)
Ye,Justin vs Sweeney,Matthew (W, result: +)
Gatzen-O'Keefe,Thomas      (W) vs Hemsley,Steven E (B, result: +)
Nabulsi,Derek vs Enan,Eisha (B, result: =)
Parker,Paul vs Taki,Ahmed (W, result: -)
Tracey,Michael J vs Campos Wagner,Fulvio Alberto (W, result: =)
Chiddy,Lance vs Khadekar,Advik Amit (B, result: +)
Daniel,Suria vs Lewis,David (W, result: -)
Rej,Alexander vs Cyriac,Jose (B, result: +)
Vincent,Alvin vs Sladojevic,Suzanna (B, result: +)
Chan,Simon vs Song,Kevin (W, result: -)
Zhu,Maxwell vs Barakat,Martin (B, result: -)
Ye,Thomas vs Castroverde,Herbert (B, result: -)
Ye,Roy vs Durkin,Hamish (W, result: -)
Vaulin-Fox,Jackson vs Sermonia,Jesus Jr (B, result: -)
Slingo,Samuel vs Khadekar,Abir Amit (W, result: +)
Nguyen,Teppi vs Wan,Dennis                 (W) (B, result: -)
Khishigbaatar,Choijilsuren vs Kianrad,Ahmad (B, result: =)
Daniel,Ariye vs Dorrian,Benjamin (B, result: -)
Castroverde,Herbert vs Ye,Thomas (W, result: +)
Gough,Benjamin vs Chen,Tom (W, result: -)
Khadekar,Abir Amit vs Slingo,Samuel (B, result: -)
Khadekar,Advik Amit vs Chiddy,Lance (W, result: -)
Mittal,Saurabh vs Tay,Mason (W, result: -)
Roy Chowdhury,Saptaswa vs Crawford,Alexander         (W) (B, result: =)
White,Gareth vs Bobbert,Finn               (W) (W, result: +)
Crawford,Alexander         (W) vs Roy Chowdhury,Saptaswa (W, result: =)
Bobbert,Finn               (W) vs White,Gareth (B, result: -)
Cairns,Orson               (W) vs Robinson,Andrew (B, result: -)
Campos Wagner,Fulvio Alberto vs Tracey,Michael J (B, result: =)
Mittal,Ekansh vs Shosho,David (B, result: -)
Heath,Charlie              (W) vs He,David (W, result: +)
Ella,Matthew               (W) vs Saha,Binoy (B, result: +)
Acton,Tres                 (W) vs Banicevic,Roy (B, result: -)
Ben Mathews,Jude           (W) vs Gu,Ryan (W, result: +)
Sladojevic,Suzanna vs Vincent,Alvin (W, result: -)
Karakaidos,Apollo          (W) vs Kulkarni,Mahesh (W, result: -)
Weir,Hexum                 (W) vs Cross,Patrick (B, result: -)
